Name;Team;Competition;Nationality;Age;Primary Position;Secondary Position;Minutes Played;finishing;dribbling;passing;creation;defending;pressing;overall;overall_global;overall_league_adjusted
Luis Muriel;Atalanta;Serie A;Colombia;30;Centre Forward;Left Centre Forward;1539,6832;78,19996332;45,56703845;54,39562287;45,69444093;28,22203454;56,10514404;95,52976626;100;98,09136305
Alexis Sánchez;Inter Milan;Serie A;Chile;32;Left Centre Forward;Left Centre Midfielder;1233,7667;64,14757;49,76003941;57,69598933;65,93459044;23,13526846;62,04031815;88,83774311;95,34631147;93,52649654
Karim Adeyemi;Salzburg;Bundesliga;Germany;19;Left Centre Forward;Right Centre Forward;1180,9666;59,69819262;45,7296287;35,72615171;99,90039875;29,47045611;90,36381859;91,72267911;95,31871933;62,33295402
Mario Götze;PSV Eindhoven;Eredivisie;Germany;28;Right Midfielder;Left Centre Midfielder;1457,5167;76,50905212;39,92045982;75,0708339;26,61016042;46,61227058;79,99163604;100;94,40812263;72,02705558
Patson Daka;Salzburg;Bundesliga;Zambia;22;Right Centre Forward;Left Centre Forward;2045,75;81,54028926;25,65293314;33,89573137;40,36873829;33,21915388;59,4171863;91,76938594;93,75895614;61,31295871
Lionel Messi;Barcelona;La Liga;Argentina;33;Centre Forward;Right Centre Forward;3214,0835;47,75648182;61,86575032;95,19049991;45,67385477;28,82346774;36,56807255;76,00166771;91,75119725;100
Erling Haaland;Borussia Dortmund;1. Bundesliga;Norway;20;Centre Forward;Right Centre Forward;2531,2002;79,04756674;31,21355984;33,58391777;34,56900385;9,625408069;45,67412076;85,84403531;88,81597859;82,28075934
Robert Lewandowski;Bayern Munich;1. Bundesliga;Poland;32;Centre Forward;0;2594,5833;80,27662538;28,26866428;43,6995882;22,74570162;25,38390782;48,38756427;87,84248404;87,89031634;81,42320877
Noa Lang;Club Brugge;Jupiler Pro League;Netherlands;21;Left Wing;Right Wing;2258,4502;51,46647641;48,38000665;77,20929408;48,23545106;42,89245863;49,3003462;77,6543351;87,20314651;66,53014281
Michel Ange Balikwisha;Standard Liège;Jupiler Pro League;Belgium;20;Right Wing;Left Wing;2154,4668;78,13356457;31,57653194;50,3510138;16,70047809;49,5053772;74,92742468;94,28948202;86,55425247;66,03508025
Chukwunonso Madueke;PSV Eindhoven;Eredivisie;England;19;Right Centre Forward;Left Centre Forward;1049,0834;64,52599354;49,1528816;60,81029522;35,27752131;25,01106569;66,0820005;87,1048633;85,6745639;65,36393696
Thomas Müller;Bayern Munich;1. Bundesliga;Germany;31;Centre Attacking Midfielder;Centre Forward;2813,2334;50,90484394;32,91779932;61,62577467;63,74842275;38,65814324;87,90040956;81,66208775;84,86415686;78,61971886
Sébastien Haller;Ajax;Eredivisie;France;26;Centre Forward;0;1653,8;55,93259949;34,03766161;46,22356109;33,11431739;32,25706445;85,18126215;79,5455661;84,301909;64,31669348
Kylian Mbappé;Paris Saint-Germain;Ligue 1;France;22;Left Wing;Centre Forward;2494,25;62,73418163;42,27948509;61,7252161;29,94862152;22,17210782;30,95743369;76,04720414;83,69642013;82,09895933
Pedro Gonçalves;Sporting CP;Primeira Liga;Portugal;22;Right Wing;Right Attacking Midfielder;2867,6167;71,70674199;26,21354194;40,96585133;32,2955549;43,16624235;76,72180557;88,50412342;83,00769272;81,42337723
Haris Seferović;Benfica;Primeira Liga;Switzerland;29;Centre Forward;Right Centre Forward;2428,7002;66,64070306;27,10436351;34,59216079;40,74240498;22,09611831;52,22938355;78,13776374;82,60209592;81,02552179
Myron Boadu;AZ Alkmaar;Eredivisie;Netherlands;20;Centre Forward;Left Centre Forward;2647,0498;74,48053964;30,69829064;40,98309923;22,64147115;24,74766268;44,35026997;82,46589971;81,52908141;62,20121229
Julian Draxler;Paris Saint-Germain;Ligue 1;Germany;27;Left Wing;Right Wing;1144,9333;76,64430964;35,44845675;67,22846646;29,14651603;34,09411833;43,28191366;89,71078786;81,19194063;79,64228125
Brenden Aaronson;Salzburg;Bundesliga;USA;20;Left Midfielder;Left Wing;1377,8832;57,22380515;41,35448793;42,62934496;51,600964;36,97039112;99,98260768;87,09564161;81,13457951;53,0573433
