prev_Comp;Comp;Transfers
it Serie A;it Serie A;663
es La Liga;es La Liga;456
fr Ligue 1;fr Ligue 1;349
de Bundesliga;de Bundesliga;343
eng Premier League;eng Premier League;275
eng Premier League;es La Liga;103
fr Ligue 1;it Serie A;102
fr Ligue 1;eng Premier League;91
eng Premier League;fr Ligue 1;88
es La Liga;eng Premier League;86
fr Ligue 1;de Bundesliga;79
de Bundesliga;eng Premier League;77
it Serie A;eng Premier League;76
eng Premier League;it Serie A;75
fr Ligue 1;es La Liga;73
es La Liga;it Serie A;71
it Serie A;fr Ligue 1;66
eng Premier League;de Bundesliga;63
de Bundesliga;it Serie A;60
es La Liga;fr Ligue 1;54
it Serie A;es La Liga;53
de Bundesliga;es La Liga;47
de Bundesliga;fr Ligue 1;45
it Serie A;de Bundesliga;36
es La Liga;de Bundesliga;16
