Name;Team;Competition;Nationality;Age;Primary Position;Secondary Position;Minutes Played;finishing;dribbling;passing;creation;defending;pressing;overall;overall_global;overall_league_adjusted
Mario Götze;PSV Eindhoven;Eredivisie;Germany;28;Right Midfielder;Left Centre Midfielder;1457,5167;76,50905212;39,92045982;75,0708339;26,61016042;46,61227058;79,99163604;97,48989079;100;73,66619397
Lionel Messi;Barcelona;La Liga;Argentina;33;Centre Forward;Right Centre Forward;3214,0835;47,75648182;61,86575032;95,19049991;45,67385477;28,82346774;36,56807255;96,73025747;95,02323416;100
Alexis Sánchez;Inter Milan;Serie A;Chile;32;Left Centre Forward;Left Centre Midfielder;1233,7667;64,14757;49,76003941;57,69598933;65,93459044;23,13526846;62,04031815;98,06688155;92,54769711;87,65532781
Emiliano Buendía;Norwich City;Championship;Argentina;24;Right Wing;Right Midfielder;3520,5994;34,34668279;45,44234679;63,66981959;49,015576;49,17490211;81,16062981;80,06397924;89,35557877;79,93017984
Rafa Silva;Benfica;Primeira Liga;Portugal;28;Right Midfielder;Right Wing;2314,9497;34,31422694;59,61279667;68,49078779;47,23642605;38,88773927;73,53149193;87,4515232;88,3702583;83,69872187
Neymar;Paris Saint-Germain;Ligue 1;Brazil;29;Left Wing;Centre Attacking Midfielder;1500,5833;18,80561516;77,93116869;74,78421029;62,23317599;22,59138965;56,71864423;91,29085135;87,91556865;83,26806858
Noa Lang;Club Brugge;Jupiler Pro League;Netherlands;21;Left Wing;Right Wing;2258,4502;51,46647641;48,38000665;77,20929408;48,23545106;42,89245863;49,3003462;90,04202541;87,4456955;64,41791567
Michel Ange Balikwisha;Standard Liège;Jupiler Pro League;Belgium;20;Right Wing;Left Wing;2154,4668;78,13356457;31,57653194;50,3510138;16,70047809;49,5053772;74,92742468;85,58689554;87,24087007;64,26702857
Thomas Müller;Bayern Munich;1. Bundesliga;Germany;31;Centre Attacking Midfielder;Centre Forward;2813,2334;50,90484394;32,91779932;61,62577467;63,74842275;38,65814324;87,90040956;85,02043768;85,98851631;76,91828163
Luis Muriel;Atalanta;Serie A;Colombia;30;Centre Forward;Left Centre Forward;1539,6832;78,19996332;45,56703845;54,39562287;45,69444093;28,22203454;56,10514404;97,81065786;85,60966597;81,08406334
Alphonso Davies;Bayern Munich;1. Bundesliga;Canada;20;Left Back;Left Wing;1865,2833;52,93953891;49,9095589;67,79208317;7,037946004;86,53022188;52,51880368;83,58243095;85,4054645;76,39673124
Karim Adeyemi;Salzburg;Bundesliga;Germany;19;Left Centre Forward;Right Centre Forward;1180,9666;59,69819262;45,7296287;35,72615171;99,90039875;29,47045611;90,36381859;100;85,35151872;53,89304172
Philip Foden;Manchester City;Premier League;England;21;Left Wing;Left Centre Midfielder;1728,3666;52,77083521;42,66825446;70,21018723;32,17076064;49,60218341;71,11406225;85,18604167;84,20867169;88,61903347
Aaron Ramsey;Juventus;Serie A;Wales;30;Left Midfielder;Left Centre Midfielder;1157,2998;21,81163665;32,96499864;72,83673178;46,36920182;37,23662719;75,49640997;65,55591759;82,66705643;78,29700961
Josip Iličić;Atalanta;Serie A;Slovenia;33;Right Centre Forward;Right Attacking Midfielder;1583,6833;20,07478342;60,07195764;75,01382153;75,45560907;23,76890576;39,61018574;82,68130514;82,16023271;77,81697823
Chukwunonso Madueke;PSV Eindhoven;Eredivisie;England;19;Right Centre Forward;Left Centre Forward;1049,0834;64,52599354;49,1528816;60,81029522;35,27752131;25,01106569;66,0820005;92,1325158;82,01444684;60,4169215
Jack Grealish;Aston Villa;Premier League;England;25;Left Wing;Centre Attacking Midfielder;2358,5334;30,92081507;56,96552935;65,10377163;55,62177884;29,21756023;29,9836817;79,55595625;81,35255998;85,6133352
Aleksandr Golovin;AS Monaco;Ligue 1;Russia;25;Left Midfielder;Right Wing;1128,3667;48,01720247;36,68769426;46,5083921;41,60961523;35,45991168;96,5189833;78,11001349;81,12754191;76,83887878
Kieran Dowell;Norwich City;Championship;England;23;Centre Attacking Midfielder;Left Wing;1004,68335;42,23332985;38,23310201;53,09380153;42,09228956;26,6563714;85,1182997;75,38278629;79,91235453;71,48304512
Julian Draxler;Paris Saint-Germain;Ligue 1;Germany;27;Left Wing;Right Wing;1144,9333;76,64430964;35,44845675;67,22846646;29,14651603;34,09411833;43,28191366;88,81251995;79,47628469;75,27491234
Brenden Aaronson;Salzburg;Bundesliga;USA;20;Left Midfielder;Left Wing;1377,8832;57,22380515;41,35448793;42,62934496;51,600964;36,97039112;99,98260768;88,00643522;79,17699109;49,99429357
Yeremi Pino;Villarreal;La Liga;Spain;18;Left Wing;Left Midfielder;878,5333;51,81772743;40,2507149;52,81387497;16,08504322;40,50365882;80,16198384;76,28244204;78,76954661;82,89503857
David Neres;Ajax;Eredivisie;Brazil;24;Right Wing;Left Wing;1251,9167;31,13167312;38,17561831;73,75846395;57,70100475;36,85341486;74,37490977;76,50992435;78,46519909;57,80232576
Serge Gnabry;Bayern Munich;1. Bundesliga;Germany;25;Left Wing;Right Wing;1726,8333;47,73367164;34,86454096;60,50439242;37,89522033;53,22712103;66,20976769;76,69092706;77,58274757;69,3991696
Ousmane Dembélé;Barcelona;La Liga;France;24;Right Wing;Left Wing;1866,5332;29,61965871;50,07553866;81,38393845;38,18106831;35,87649989;65,24086857;78,69408685;77,41768373;81,47237295
Kader Bamba;Nantes;Ligue 1;France;27;Left Wing;Right Wing;1031,6833;50,71851559;57,30289394;50,55544969;19,08205798;47,53228695;28,56931684;80,4714867;77,32088027;73,23344954
Iker Muniain;Athletic Bilbao;La Liga;Spain;28;Centre Attacking Midfielder;Left Midfielder;2017,6832;50,42807363;51,53290235;61,75420277;17,68819677;32,96773277;39,19834499;79,21386393;77,27498885;81,32220455
Pedro Gonçalves;Sporting CP;Primeira Liga;Portugal;22;Right Wing;Right Attacking Midfielder;2867,6167;71,70674199;26,21354194;40,96585133;32,2955549;43,16624235;76,72180557;80,18957942;76,93978958;72,87250453
Luis Sinisterra;Feyenoord;Eredivisie;Colombia;21;Left Wing;Left Attacking Midfielder;1439,0167;39,20836348;47,48790605;57,85421158;41,85337039;31,67602948;55,82862295;77,06264287;76,79112607;56,56909989
Luis Díaz;FC Porto;Primeira Liga;Colombia;24;Left Midfielder;Left Wing;1776,6001;35,61421298;54,04309991;52,21220199;25,62667079;50,07615462;67,14520525;76,50156533;76,7838054;72,72476617
Antony;Ajax;Eredivisie;Brazil;21;Right Wing;Left Wing;1854,2168;41,65374426;39,91467125;70,42104431;52,44059602;41,41747738;57,25818976;79,87744257;76,76640587;56,55088945
Ruslan Malinovskiy;Atalanta;Serie A;Ukraine;28;Right Wing;Right Centre Forward;1972,8835;28,77021785;48,89572943;67,33688963;66,76268207;31,40603776;63,76440759;80,64042763;76,43328489;72,39277531
